step1,len1,step2,len2,step3,len3,metal,due
A001,2746,B001,2521,C363,2839,2,388800
A002,2746,B002,2521,C001,2839,2,388800
A003,2746,B003,2521,C002,2839,2,388800
A004,2746,B004,2521,C003,2839,2,388800
A005,2746,B005,2521,C004,2839,2,388800
A006,2746,B006,2521,C005,2839,2,388800
A007,2798,B007,2569,C006,2957,0,388800
A008,2798,B008,2569,C007,2957,0,388800
A009,2798,B009,2569,C008,2957,0,388800
A010,2798,B010,2569,C087,2957,0,388800
A011,2798,B011,2569,C009,2957,0,388800
A012,2798,B012,2569,C352,2957,0,388800
A013,2798,B013,2569,C166,2957,0,388800
A014,2798,B014,2569,C010,2957,0,388800
A015,2798,B015,2569,C011,2893,1,388800
A016,2798,B016,2569,C013,2893,1,388800
A017,2798,B018,2569,C184,2893,1,388800
A018,2798,B019,2569,C015,2893,1,388800
A019,2798,B017,2569,C012,2957,0,388800
A020,2798,B020,2569,C016,2957,0,388800
A021,2798,B021,2569,C017,2957,0,388800
A022,2798,B022,2569,C018,2957,0,388800
A023,2798,B024,2569,C096,2957,0,388800
A024,2798,B025,2569,C019,2957,0,388800
A025,2798,B023,2569,C014,2957,0,388800
A026,2798,B026,2569,C020,2957,0,388800
A027,2798,B027,2569,C021,2957,0,388800
A028,2798,B028,2569,C022,2957,0,388800
A029,2798,B029,2569,C023,2893,1,388800
A030,2798,B030,2569,C024,2893,1,388800
A031,2798,B031,2569,C025,2893,1,388800
A032,2798,B032,2569,C026,2893,1,388800
A033,2798,B033,2569,C027,2957,0,388800
A034,2798,B034,2569,C028,2957,0,388800
A035,2798,B035,2569,C029,2957,0,388800
A036,2798,B036,2569,C030,2957,0,388800
A037,2798,B037,2569,C031,2957,0,388800
A038,2798,B038,2569,C032,2957,0,388800
A039,2798,B039,2569,C033,2957,0,388800
A040,2798,B040,2569,C034,2957,0,388800
A041,2798,B041,2569,C035,2893,1,388800
A042,2798,B042,2569,C036,2893,1,388800
A043,2798,B043,2569,C037,2893,1,388800
A044,2798,B044,2569,C038,2893,1,388800
A045,2798,B045,2569,C039,2957,0,388800
A046,2798,B046,2569,C040,2957,0,388800
A047,2798,B047,2569,C041,2957,0,388800
A048,2798,B048,2569,C042,2957,0,388800
A049,2798,B049,2569,C043,2957,0,388800
A050,2798,B050,2569,C186,2957,0,388800
A051,2798,B051,2569,C044,2957,0,388800
A052,2798,B052,2569,C045,2957,0,388800
A053,2798,B053,2569,C046,2893,1,388800
A054,2798,B054,2569,C047,2893,1,388800
A055,2798,B055,2569,C049,2893,1,388800
A056,2798,B057,2569,C050,2893,1,388800
A057,2798,B056,2569,C048,2957,0,388800
A058,2798,B058,2569,C051,2957,0,388800
A059,2798,B059,2569,C052,2957,0,388800
A060,2798,B060,2569,C053,2957,0,388800
A061,2798,B061,2569,C054,2957,0,388800
A062,2798,B062,2569,C055,2957,0,388800
A063,2798,B063,2569,C056,2957,0,388800
A064,2798,B064,2569,C057,2957,0,388800
A065,2798,B065,2569,C058,2957,0,388800
A066,2798,B066,2569,C059,2893,1,388800
A067,2798,B067,2569,C061,2893,1,388800
A068,2798,B069,2569,C062,2893,1,388800
A069,2798,B070,2569,C153,2893,1,388800
A070,2798,B068,2569,C060,2957,0,993600
A071,2798,B071,2569,C063,2957,0,388800
A072,2798,B072,2569,C064,2957,0,388800
A073,2798,B073,2569,C066,2957,0,388800
A074,2798,B074,2569,C067,2957,0,388800
A075,2798,B075,2569,C099,2957,0,388800
A076,2798,B076,2569,C068,2957,0,388800
