StepId;StartDate_Seconds
A002;0
B002;2746
C001;169961
A003;2746
B003;5492
C002;172800
A004;5492
B004;8238
C003;175639
A005;8238
B005;10984
C004;178478
A006;10984
B006;13730
C005;181317
A095;13730
B096;16476
C083;184156
A097;16476
B097;19222
C084;186995
A098;19222
B098;21968
C085;189834
A099;21968
B099;24714
C086;192673
A101;24714
B101;27460
C088;195512
A106;27460
B106;30206
C092;198351
A107;30206
B107;32952
C093;201190
A108;32952
B108;35698
C094;204029
A109;35698
B109;38444
C095;206868
A110;38444
B110;41190
C097;209707
A122;41190
B122;43936
C110;212546
A124;43936
B124;46682
C112;215385
A126;46682
B126;49428
C113;218224
A127;49428
B127;52174
C114;221063
A187;52174
B187;54920
C157;223902
A186;54920
B186;57666
C161;226741
A188;57666
B188;60412
C162;229580
A189;60412
B189;63158
C163;232419
A190;63158
B190;65904
C164;235258
A197;65904
B197;68650
C170;238097
A198;68650
B198;71396
C171;240936
A199;71396
B199;74142
C172;243775
A200;74142
B200;76888
C173;246614
A191;76888
B191;79634
C174;249453
A201;79634
B201;82380
C175;252292
A202;82380
B202;85126
C177;255131
A207;85126
B207;87872
C188;257970
A125;87872
B125;90618
C221;260809
A111;90618
B112;93364
C258;263648
A123;93364
B123;96110
C259;266487
A100;96110
B100;98856
C287;269326
A001;98856
B001;101602
C363;272165
A015;101602
B015;104400
C011;275004
A016;104400
B016;107198
C013;281497
A018;107198
B019;109996
C015;284390
A029;109996
B029;112794
C023;287283
A030;112794
B030;115592
C024;290176
A031;115592
B031;118390
C025;293069
A032;118390
B032;121188
C026;295962
A041;121188
B041;123986
C035;298855
A042;123986
B042;126784
C036;301748
A043;126784
B043;129582
C037;304641
A044;129582
B044;132380
C038;307534
A053;132380
B053;135178
C046;310427
A054;135178
B054;137976
C047;313320
A055;137976
B055;140774
C049;316213
A056;140774
B057;143572
C050;319106
A066;143572
B066;146370
C059;321999
A067;146370
B067;149168
C061;324892
A068;149168
B069;151966
C062;327785
A079;151966
B079;154764
C072;330678
A080;154764
B080;157562
C073;333571
A081;157562
B081;160360
C074;336464
A082;160360
B082;163158
C075;339357
A091;163158
B091;165956
C080;342250
A092;165956
B092;168754
C081;345143
A094;168754
B094;171552
C082;348036
A102;171552
B102;174350
C089;350929
A103;174350
B103;177148
C090;353822
A104;177148
B104;179946
C091;356715
A120;179946
B119;182744
C098;359608
A135;182744
B132;185542
C100;362501
A138;185542
B138;188340
C121;365394
A139;188340
B139;191138
C122;368287
A141;191138
B141;193936
C123;371180
A093;193936
B093;196734
C130;374073
A150;196734
B150;199532
C133;376966
A151;199532
B151;202330
C134;379859
A153;202330
B153;205128
C135;382752
A160;205128
B160;207926
C141;385645
A161;207926
B161;210724
C142;388538
A162;210724
B162;213522
C143;391431
A180;213522
B178;216320
C144;394324
A163;216320
B163;219118
C145;397217
A172;219118
B172;221916
C152;400110
A069;221916
B070;224714
C153;403003
A173;224714
B173;227512
C154;405896
A185;227512
B185;230310
C160;408789
A192;230310
B192;233108
C165;411682
A193;233108
B193;235906
C167;414575
A194;235906
B194;238704
C168;417468
A195;238704
B196;241502
C169;420361
A105;241502
B105;244300
C176;423254
A184;244300
B184;247098
C178;426147
A203;247098
B203;249896
C179;429040
A204;249896
B204;252694
C180;431933
A205;252694
B205;255492
C181;434826
A017;255492
B018;258290
C184;437719
A206;258290
B206;261088
C187;440612
A212;261088
B212;263886
C193;443505
A213;263886
B213;266684
C250;446398
A140;266684
B140;269482
C312;449291
A152;269482
B152;272280
C359;452184
A174;272280
B174;275078
C366;455077
A007;275078
B007;277876
C006;457970
A008;277876
B008;280674
C007;464527
A009;280674
B009;283472
C008;467484
A011;283472
B011;286270
C009;470441
A014;286270
B014;289068
C010;473398
A019;289068
B017;291866
C012;476355
A025;291866
B023;294664
C014;479312
A020;294664
B020;297462
C016;482269
A021;297462
B021;300260
C017;485226
A022;300260
B022;303058
C018;488183
A024;303058
B025;305856
C019;491140
