,StepId,StartDate_Seconds,EndDate_Seconds,TooLate_Weeks,SetupTime_Hours
0,A007,164247,167045,0.0,0
1,B007,167045,169614,0.0,0
2,C006,169843,172800,0.0,0
3,A008,167204,170002,0.0,0
4,B008,170002,172571,0.0,0
5,C007,172800,175757,0.0,0
6,A009,170161,172959,0.0,0
7,B009,172959,175528,0.0,0
8,C008,175757,178714,0.0,0
9,A010,173118,175916,0.0,0
10,B010,175916,178485,0.0,0
11,C087,178714,181671,0.0,0
12,A011,176075,178873,0.0,0
13,B011,178873,181442,0.0,0
14,C009,181671,184628,0.0,0
15,A012,179032,181830,0.0,0
16,B012,181830,184399,0.0,0
17,C352,184628,187585,0.0,0
18,A013,181989,184787,0.0,0
19,B013,184787,187356,0.0,0
20,C166,187585,190542,0.0,0
21,A014,184946,187744,0.0,0
22,B014,187744,190313,0.0,0
23,C010,190542,193499,0.0,0
24,A019,187903,190701,0.0,0
25,B017,190701,193270,0.0,0
26,C012,193499,196456,0.0,0
27,A020,190860,193658,0.0,0
28,B020,193658,196227,0.0,0
29,C016,196456,199413,0.0,0
30,A021,193817,196615,0.0,0
31,B021,196615,199184,0.0,0
32,C017,199413,202370,0.0,0
33,A022,196774,199572,0.0,0
34,B022,199572,202141,0.0,0
35,C018,202370,205327,0.0,0
36,A023,199731,202529,0.0,0
37,B024,202529,205098,0.0,0
38,C096,205327,208284,0.0,0
39,A024,202688,205486,0.0,0
40,B025,205486,208055,0.0,0
41,C019,208284,211241,0.0,0
42,A025,205645,208443,0.0,0
43,B023,208443,211012,0.0,0
44,C014,211241,214198,0.0,0
45,A026,208602,211400,0.0,0
46,B026,211400,213969,0.0,0
47,C020,214198,217155,0.0,0
48,A027,211559,214357,0.0,0
49,B027,214357,216926,0.0,0
50,C021,217155,220112,0.0,0
51,A028,214516,217314,0.0,0
52,B028,217314,219883,0.0,0
53,C022,220112,223069,0.0,0
54,A033,217473,220271,0.0,0
55,B033,220271,222840,0.0,0
56,C027,223069,226026,0.0,0
57,A034,220430,223228,0.0,0
58,B034,223228,225797,0.0,0
59,C028,226026,228983,0.0,0
60,A035,223387,226185,0.0,0
61,B035,226185,228754,0.0,0
62,C029,228983,231940,0.0,0
63,A036,226344,229142,0.0,0
64,B036,229142,231711,0.0,0
65,C030,231940,234897,0.0,0
66,A037,229301,232099,0.0,0
67,B037,232099,234668,0.0,0
68,C031,234897,237854,0.0,0
69,A038,232258,235056,0.0,0
70,B038,235056,237625,0.0,0
71,C032,237854,240811,0.0,0
72,A039,235215,238013,0.0,0
73,B039,238013,240582,0.0,0
74,C033,240811,243768,0.0,0
75,A040,238172,240970,0.0,0
76,B040,240970,243539,0.0,0
77,C034,243768,246725,0.0,0
78,A045,241129,243927,0.0,0
79,B045,243927,246496,0.0,0
80,C039,246725,249682,0.0,0
81,A046,244086,246884,0.0,0
82,B046,246884,249453,0.0,0
83,C040,249682,252639,0.0,0
84,A047,247043,249841,0.0,0
85,B047,249841,252410,0.0,0
86,C041,252639,255596,0.0,0
87,A048,250000,252798,0.0,0
88,B048,252798,255367,0.0,0
89,C042,255596,258553,0.0,0
90,A049,252957,255755,0.0,0
91,B049,255755,258324,0.0,0
92,C043,258553,261510,0.0,0
93,A050,255914,258712,0.0,0
94,B050,258712,261281,0.0,0
95,C186,261510,264467,0.0,0
96,A051,258871,261669,0.0,0
97,B051,261669,264238,0.0,0
98,C044,264467,267424,0.0,0
99,A052,261828,264626,0.0,0
100,B052,264626,267195,0.0,0
101,C045,267424,270381,0.0,0
102,A057,264785,267583,0.0,0
103,B056,267583,270152,0.0,0
104,C048,270381,273338,0.0,0
105,A058,267742,270540,0.0,0
106,B058,270540,273109,0.0,0
107,C051,273338,276295,0.0,0
108,A059,270699,273497,0.0,0
109,B059,273497,276066,0.0,0
110,C052,276295,279252,0.0,0
111,A060,273656,276454,0.0,0
112,B060,276454,279023,0.0,0
113,C053,279252,282209,0.0,0
114,A061,276613,279411,0.0,0
115,B061,279411,281980,0.0,0
116,C054,282209,285166,0.0,0
117,A062,279570,282368,0.0,0
118,B062,282368,284937,0.0,0
119,C055,285166,288123,0.0,0
120,A063,282527,285325,0.0,0
121,B063,285325,287894,0.0,0
122,C056,288123,291080,0.0,0
123,A064,285484,288282,0.0,0
124,B064,288282,290851,0.0,0
125,C057,291080,294037,0.0,0
126,A065,288441,291239,0.0,0
127,B065,291239,293808,0.0,0
128,C058,294037,296994,0.0,0
129,A071,291398,294196,0.0,0
130,B071,294196,296765,0.0,0
131,C063,296994,299951,0.0,0
132,A072,294355,297153,0.0,0
133,B072,297153,299722,0.0,0
134,C064,299951,302908,0.0,0
135,A073,297312,300110,0.0,0
136,B073,300110,302679,0.0,0
137,C066,302908,305865,0.0,0
